id,county,name,type,star,ind_month,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
33000436,Edgecombe,Tiny Treasures Child Care Center,Center,4 Star C 2C,9,1,1,2,4,3,1,0,0,11,51,51,Independent Converted Building,Y,5,August,2022
33000436,Edgecombe,Tiny Treasures Child Care Center,Center,4 Star C 2C,9,2,0,0,0,0,0,0,0,0,51,51,Independent Converted Building,Y,5,August,2022
33000436,Edgecombe,Tiny Treasures Child Care Center,Center,4 Star C 2C,9,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,5,August,2022
33000437,Edgecombe,Little Mark Child Care Center,Center,Other,1,1,2,6,6,7,5,0,9,35,42,42,Religious Sponsored Modular,Y,4,August,2022
33000437,Edgecombe,Little Mark Child Care Center,Center,Other,1,2,0,0,0,0,0,0,0,0,42,42,Religious Sponsored Modular,Y,4,August,2022
33000437,Edgecombe,Little Mark Child Care Center,Center,Other,1,3,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Modular,Y,4,August,2022
33000441,Edgecombe,The Growing Patch Child Development Center,Center,3 Star C 2C,4,1,5,13,10,10,9,11,17,75,70,70,Independent Converted House,Y,10,August,2022
33000441,Edgecombe,The Growing Patch Child Development Center,Center,3 Star C 2C,4,2,0,0,0,0,0,0,0,0,70,70,Independent Converted House,Y,10,August,2022
33000441,Edgecombe,The Growing Patch Child Development Center,Center,3 Star C 2C,4,3,0,0,0,0,0,0,0,0,0,0,Independent Converted House,Y,10,August,2022
33000470,Edgecombe,Miss Nancy's Childcare,Center,4 Star C 2C,7,1,5,1,5,2,5,2,0,20,82,82,Independent Constructed for Child Care,Y,6,August,2022
33000470,Edgecombe,Miss Nancy's Childcare,Center,4 Star C 2C,7,2,0,0,0,0,0,0,0,0,82,82,Independent Constructed for Child Care,Y,6,August,2022
33000470,Edgecombe,Miss Nancy's Childcare,Center,4 Star C 2C,7,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,6,August,2022
33000480,Edgecombe,Foundation Builders Academy,Center,4 Star C 2C,1,1,0,0,3,7,12,4,0,26,52,52,Independent Converted Building,Y,10,August,2022
33000480,Edgecombe,Foundation Builders Academy,Center,4 Star C 2C,1,2,0,0,0,0,0,0,0,0,52,52,Independent Converted Building,Y,10,August,2022
33000480,Edgecombe,Foundation Builders Academy,Center,4 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,10,August,2022
33000495,Edgecombe,Princeville Elementary School,Center,5 Star C 2C,2,1,0,0,0,2,7,4,0,13,18,18,Local Public School Government Building,N,3,August,2022
33000495,Edgecombe,Princeville Elementary School,Center,5 Star C 2C,2,2,0,0,0,0,0,0,0,0,0,0,Local Public School Government Building,N,3,August,2022
33000495,Edgecombe,Princeville Elementary School,Center,5 Star C 2C,2,3,0,0,0,0,0,0,0,0,0,0,Local Public School Government Building,N,3,August,2022
33000501,Edgecombe,Molly's Child Care Center Inc.,Center,4 Star C 2C,12,1,1,0,6,0,0,0,0,7,42,42,Independent Converted Building,Y,4,August,2022
33000501,Edgecombe,Molly's Child Care Center Inc.,Center,4 Star C 2C,12,2,0,0,0,0,0,0,0,0,42,42,Independent Converted Building,Y,4,August,2022
33000501,Edgecombe,Molly's Child Care Center Inc.,Center,4 Star C 2C,12,3,0,0,0,0,0,0,0,0,42,42,Independent Converted Building,Y,4,August,2022
33000503,Edgecombe,First Baptist Church Academy,Center,Other,9,1,0,0,10,8,13,14,8,53,105,105,Religious Sponsored,Y,18,August,2022
