id,county,name,type,star,ind_month,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
90000442,Union,Indian Trail Elementary,Center,5 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,N,9,January,2023
90000442,Union,Indian Trail Elementary,Center,5 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,N,9,January,2023
90000444,Union,A Kid's Place,Center,Other,9,1,2,14,2,9,11,5,1,44,48,48,Religious Sponsored Religious,Y,7,January,2023
90000444,Union,A Kid's Place,Center,Other,9,2,0,0,0,0,0,0,0,0,48,48,Religious Sponsored Religious,Y,7,January,2023
90000444,Union,A Kid's Place,Center,Other,9,3,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Religious,Y,7,January,2023
90000454,Union,My Little Angels Learning Center,Center,4 Star C 2C,11,1,2,5,2,4,6,1,0,20,25,25,Independent Converted Building,Y,5,January,2023
90000454,Union,My Little Angels Learning Center,Center,4 Star C 2C,11,2,0,0,0,0,1,0,5,6,25,25,Independent Converted Building,Y,5,January,2023
90000454,Union,My Little Angels Learning Center,Center,4 Star C 2C,11,3,0,0,0,0,0,0,0,0,25,25,Independent Converted Building,Y,5,January,2023
90000456,Union,New Covenant Child Development Center,Center,Other,10,1,6,6,14,11,7,0,15,59,90,90,Religious Sponsored Constructed for Child Care,Y,13,January,2023
90000456,Union,New Covenant Child Development Center,Center,Other,10,2,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Constructed for Child Care,Y,13,January,2023
90000456,Union,New Covenant Child Development Center,Center,Other,10,3,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Constructed for Child Care,Y,13,January,2023
90000476,Union,The Learning Experience,Center,4 Star C 2C,8,1,7,31,25,28,16,4,0,111,161,161,Franchise Constructed for Child Care,Y,19,January,2023
90000476,Union,The Learning Experience,Center,4 Star C 2C,8,2,0,0,0,0,0,0,0,0,0,0,Franchise Constructed for Child Care,Y,19,January,2023
90000476,Union,The Learning Experience,Center,4 Star C 2C,8,3,0,0,0,0,0,0,0,0,0,0,Franchise Constructed for Child Care,Y,19,January,2023
