id,county,type,star,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
60000968,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Community        Community,Y,7,march,2017
60000973,MECKLENBURG,CENTERS,1-STAR,1,5,9,21,10,22,4,0,71,90,70,Independent      Constructed for,N,5,march,2017
60000973,MECKLENBURG,CENTERS,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent      Constructed for,N,5,march,2017
60000973,MECKLENBURG,CENTERS,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent      Constructed for,N,5,march,2017
60000988,MECKLENBURG,CENTERS,5-STAR,1,3,12,18,31,33,0,0,97,135,135,Independent      Constructed for,Y,2,march,2017
60000988,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent      Constructed for,Y,2,march,2017
60000988,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent      Constructed for,Y,2,march,2017
60001006,MECKLENBURG,CENTERS,5-STAR,1,1,0,1,2,3,0,11,18,136,64,Independent      Converted,Y,4,march,2017
60001006,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent      Converted,Y,4,march,2017
60001006,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent      Converted,Y,4,march,2017
60001016,MECKLENBURG,CENTERS,5-STAR,1,0,0,0,0,0,0,90,90,100,100,Local Public     School,Y,2,march,2017
60001016,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Local Public     School,Y,2,march,2017
60001016,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Local Public     School,Y,2,march,2017
60001020,MECKLENBURG,CENTERS,GS[0-9]+,1,4,5,11,11,13,2,0,46,102,102,Religious      Religious,Y,7,march,2017
60001020,MECKLENBURG,CENTERS,GS[0-9]+,2,0,0,0,0,0,0,0,0,0,0,Religious      Religious,Y,7,march,2017
60001020,MECKLENBURG,CENTERS,GS[0-9]+,3,0,0,0,0,0,0,0,0,0,0,Religious      Religious,Y,7,march,2017
60001025,MECKLENBURG,CENTERS,4-STAR,1,1,3,1,3,3,0,2,13,12,12,Independent    Family,Y,2,march,2017
60001025,MECKLENBURG,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,5,5,Independent    Family,Y,2,march,2017
60001025,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Family,Y,2,march,2017
60001026,MECKLENBURG,CENTERS,3-STAR,1,0,4,3,0,0,0,0,7,12,12,Independent    Family,Y,3,march,2017
60001026,MECKLENBURG,CENTERS,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Family,Y,3,march,2017
60001026,MECKLENBURG,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,5,5,Independent    Family,Y,3,march,2017
60001062,MECKLENBURG,CENTERS,5-STAR,1,0,0,1,3,2,2,0,8,12,12,Independent    Family,Y,1,march,2017
60001062,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,5,0,Independent    Family,Y,1,march,2017
60001062,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Family,Y,1,march,2017
60001084,MECKLENBURG,CENTERS,3-STAR,1,0,0,0,3,1,0,0,4,12,12,Independent    Family,N,1,march,2017
60001084,MECKLENBURG,CENTERS,3-STAR,2,0,0,0,0,0,0,0,0,5,5,Independent    Family,N,1,march,2017
60001084,MECKLENBURG,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Family,N,1,march,2017
60001091,MECKLENBURG,CENTERS,5-STAR,1,0,0,0,0,0,0,99,99,100,100,Local Public   School,Y,9,march,2017
60001091,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,9,march,2017
60001091,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,9,march,2017
60001098,MECKLENBURG,CENTERS,3-STAR,1,8,6,12,11,9,4,0,50,150,150,Independent    Constructed for,Y,2,march,2017
60001098,MECKLENBURG,CENTERS,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,2,march,2017
60001098,MECKLENBURG,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,2,march,2017
60001100,MECKLENBURG,CENTERS,4-STAR,1,0,0,0,0,0,0,55,55,100,100,Local Public   School,Y,4,march,2017
60001100,MECKLENBURG,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,4,march,2017
60001100,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,4,march,2017
60001114,MECKLENBURG,CENTERS,5-STAR,1,0,0,0,0,0,0,41,41,100,100,Local Public   School,Y,7,march,2017
60001114,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,7,march,2017
60001114,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,7,march,2017
60001135,MECKLENBURG,CENTERS,5-STAR,1,0,0,0,0,0,0,63,63,150,150,Local Public   School,Y,4,march,2017
60001135,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,4,march,2017
60001135,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,4,march,2017
60001138,MECKLENBURG,CENTERS,4-STAR,1,0,0,0,0,0,0,45,45,150,150,Local Public   School,Y,5,march,2017
60001138,MECKLENBURG,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,5,march,2017
60001138,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,5,march,2017
60001141,MECKLENBURG,CENTERS,5-STAR,1,8,11,17,14,16,6,41,113,171,171,Franchise      Constructed for,Y,0,march,2017
60001141,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Franchise      Constructed for,Y,0,march,2017
60001141,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Franchise      Constructed for,Y,0,march,2017
60001142,MECKLENBURG,CENTERS,5-STAR,1,8,14,14,7,10,9,27,89,162,162,Franchise     Constructed for,Y,9,march,2017
60001142,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Franchise     Constructed for,Y,9,march,2017
60001142,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Franchise     Constructed for,Y,9,march,2017
60001143,MECKLENBURG,CENTERS,5-STAR,1,9,13,20,16,24,24,0,106,172,172,Independent   Constructed for,Y,5,march,2017
60001143,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent   Constructed for,Y,5,march,2017
60001143,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent   Constructed for,Y,5,march,2017
60001144,MECKLENBURG,CENTERS,5-STAR,1,10,12,18,13,8,0,24,85,164,164,Franchise     Constructed for,Y,5,march,2017
60001144,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Franchise     Constructed for,Y,5,march,2017
60001144,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Franchise     Constructed for,Y,5,march,2017
