id,county,name,type,star,ind_month,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
86000229,Surry,Copeland Elementary Pre­k School Ready,Center,5 Star C 2C,5,1,0,0,0,0,6,9,0,15,36,18,Local Public School School,Y,4,December,2020
86000229,Surry,Copeland Elementary Pre­k School Ready,Center,5 Star C 2C,5,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,4,December,2020
86000229,Surry,Copeland Elementary Pre­k School Ready,Center,5 Star C 2C,5,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,4,December,2020
86000230,Surry,Cedar Ridge Elementary Pre­k School Ready,Center,5 Star C 2C,5,1,0,0,0,0,5,11,0,16,18,18,Local Public School School,Y,4,December,2020
86000230,Surry,Cedar Ridge Elementary Pre­k School Ready,Center,5 Star C 2C,5,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,4,December,2020
86000230,Surry,Cedar Ridge Elementary Pre­k School Ready,Center,5 Star C 2C,5,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,4,December,2020
86000231,Surry,Flat Rock Elementary Pre­k School Ready,Center,5 Star C 2C,9,1,0,0,0,0,11,5,0,16,18,18,Local Public School School,Y,4,December,2020
86000231,Surry,Flat Rock Elementary Pre­k School Ready,Center,5 Star C 2C,9,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,4,December,2020
86000231,Surry,Flat Rock Elementary Pre­k School Ready,Center,5 Star C 2C,9,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,4,December,2020
86000232,Surry,Bh Tharrington Preschool,Center,5 Star C 2C,4,1,0,0,0,1,26,1,0,28,45,0,Local Public School School,Y,5,December,2020
86000232,Surry,Bh Tharrington Preschool,Center,5 Star C 2C,4,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,5,December,2020
86000232,Surry,Bh Tharrington Preschool,Center,5 Star C 2C,4,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,5,December,2020
86000244,Surry,Dobson Elementary School Pre­k School Ready,Center,5 Star C 2C,2,1,0,0,0,0,13,3,0,16,29,29,Local Public School School,Y,3,December,2020
86000244,Surry,Dobson Elementary School Pre­k School Ready,Center,5 Star C 2C,2,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,3,December,2020
86000244,Surry,Dobson Elementary School Pre­k School Ready,Center,5 Star C 2C,2,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,3,December,2020
86000258,Surry,Elkin Elementary Preschool,Center,5 Star C 2C,6,1,0,0,0,5,12,8,0,25,36,36,Local Public School School,Y,6,December,2020
86000258,Surry,Elkin Elementary Preschool,Center,5 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,6,December,2020
86000258,Surry,Elkin Elementary Preschool,Center,5 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,6,December,2020
86000303,Surry,Mt. Park Pre­k School Ready,Center,5 Star C 2C,4,1,0,0,0,2,15,0,0,17,18,18,Local Public School School,Y,3,December,2020
86000303,Surry,Mt. Park Pre­k School Ready,Center,5 Star C 2C,4,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,3,December,2020
86000303,Surry,Mt. Park Pre­k School Ready,Center,5 Star C 2C,4,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,3,December,2020
86000304,Surry,White Plains Pre­k School Ready,Center,5 Star C 2C,1,1,0,0,0,0,13,4,0,17,18,18,Local Public School School,Y,3,December,2020
86000304,Surry,White Plains Pre­k School Ready,Center,5 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,3,December,2020
86000304,Surry,White Plains Pre­k School Ready,Center,5 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,3,December,2020
86000319,Surry,Mount Pilot Child Enrichment Center,Center,4 Star C 2C,11,1,6,14,30,19,23,3,72,167,154,154,Independent Constructed for Child Care,Y,29,December,2020
86000319,Surry,Mount Pilot Child Enrichment Center,Center,4 Star C 2C,11,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,29,December,2020
86000319,Surry,Mount Pilot Child Enrichment Center,Center,4 Star C 2C,11,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,29,December,2020
86000325,Surry,Westfield Pre­k School Ready,Center,5 Star C 2C,1,1,0,0,0,0,10,1,0,11,18,18,Local Public School School,Y,3,December,2020
86000325,Surry,Westfield Pre­k School Ready,Center,5 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,3,December,2020
86000325,Surry,Westfield Pre­k School Ready,Center,5 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,3,December,2020
86000327,Surry,Shoals Elementary Pre­k School Ready,Center,5 Star C 2C,4,1,0,0,0,0,4,9,0,13,18,18,Local Public School School,Y,3,December,2020
86000327,Surry,Shoals Elementary Pre­k School Ready,Center,5 Star C 2C,4,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,3,December,2020
86000327,Surry,Shoals Elementary Pre­k School Ready,Center,5 Star C 2C,4,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,3,December,2020
86000337,Surry,South Main Children's Center,Center,3 Star C 2C,1,1,0,4,3,4,5,1,6,23,21,21,Independent Converted Building,Y,3,December,2020
86000337,Surry,South Main Children's Center,Center,3 Star C 2C,1,2,0,0,0,0,0,0,0,0,21,0,Independent Converted Building,Y,3,December,2020
86000337,Surry,South Main Children's Center,Center,3 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,3,December,2020
86000351,Surry,Magical Moments Learning Academy,Center,3 Star C 2C,3,1,0,2,11,9,10,1,30,63,73,73,Independent Converted Building,Y,8,December,2020
86000351,Surry,Magical Moments Learning Academy,Center,3 Star C 2C,3,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,8,December,2020
86000351,Surry,Magical Moments Learning Academy,Center,3 Star C 2C,3,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,8,December,2020
86000353,Surry,Kindercare Learning Center,Center,3 Star C 2C,11,1,0,0,0,0,0,0,0,0,178,178,Independent Constructed for Child Care,Y,17,December,2020
86000353,Surry,Kindercare Learning Center,Center,3 Star C 2C,11,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,17,December,2020
86000353,Surry,Kindercare Learning Center,Center,3 Star C 2C,11,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,17,December,2020
86000354,Surry,Kindercare Learning Center,Center,3 Star C 2C,10,1,7,8,12,8,10,3,22,70,180,145,Independent Constructed for Child Care,Y,11,December,2020
86000354,Surry,Kindercare Learning Center,Center,3 Star C 2C,10,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,11,December,2020
86000354,Surry,Kindercare Learning Center,Center,3 Star C 2C,10,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,11,December,2020
86000355,Surry,Kindercare Learning Center,Center,3 Star C 2C,10,1,9,16,19,15,17,0,17,93,140,140,Independent Constructed for Child Care,Y,15,December,2020
86000355,Surry,Kindercare Learning Center,Center,3 Star C 2C,10,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,15,December,2020
86000355,Surry,Kindercare Learning Center,Center,3 Star C 2C,10,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,15,December,2020
86000356,Surry,Kindercare Learning Center,Center,3 Star C 2C,6,1,2,3,10,2,7,0,10,34,169,0,Independent Constructed for Child Care,Y,11,December,2020
86000356,Surry,Kindercare Learning Center,Center,3 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,11,December,2020
86000356,Surry,Kindercare Learning Center,Center,3 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,11,December,2020
86000358,Surry,Rainbow Child Care Center,Center,3 Star C 2C,7,1,0,0,0,8,13,5,20,46,46,46,Independent Converted House,Y,6,December,2020
86000358,Surry,Rainbow Child Care Center,Center,3 Star C 2C,7,2,0,0,0,0,0,0,0,0,0,0,Independent Converted House,Y,6,December,2020
86000358,Surry,Rainbow Child Care Center,Center,3 Star C 2C,7,3,0,0,0,0,0,0,0,0,0,0,Independent Converted House,Y,6,December,2020
86000359,Surry,A Grace Academy Of Mt. Airy,Center,3 Star C 2C,3,1,10,13,18,16,5,11,46,119,112,112,Independent Converted Building,Y,15,December,2020
86000359,Surry,A Grace Academy Of Mt. Airy,Center,3 Star C 2C,3,2,0,0,0,0,0,0,0,0,112,0,Independent Converted Building,Y,15,December,2020
86000359,Surry,A Grace Academy Of Mt. Airy,Center,3 Star C 2C,3,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,15,December,2020
86000363,Surry,Rockford Elementary School Pre­k School,Center,5 Star C 2C,12,1,0,0,0,0,9,7,0,16,36,16,Local Public School,Y,3,December,2020
86000363,Surry,Rockford Elementary School Pre­k School,Center,5 Star C 2C,12,2,0,0,0,0,0,0,0,0,0,0,Local Public School,Y,3,December,2020
86000363,Surry,Rockford Elementary School Pre­k School,Center,5 Star C 2C,12,3,0,0,0,0,0,0,0,0,0,0,Local Public School,Y,3,December,2020
86000364,Surry,Pilot Mtn. Elementary School Pre­k School Ready,Center,5 Star C 2C,2,1,0,0,0,0,11,2,0,13,18,18,Local Public School School,Y,3,December,2020
86000364,Surry,Pilot Mtn. Elementary School Pre­k School Ready,Center,5 Star C 2C,2,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,3,December,2020
86000364,Surry,Pilot Mtn. Elementary School Pre­k School Ready,Center,5 Star C 2C,2,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,3,December,2020
86000387,Surry,Kindercare Learning Center,Center,3 Star C 2C,10,1,6,13,12,14,9,1,17,72,100,100,Franchise Constructed for Child Care,Y,12,December,2020
86000387,Surry,Kindercare Learning Center,Center,3 Star C 2C,10,2,0,0,0,0,0,0,0,0,0,0,Franchise Constructed for Child Care,Y,12,December,2020
86000387,Surry,Kindercare Learning Center,Center,3 Star C 2C,10,3,0,0,0,0,0,0,0,0,0,0,Franchise Constructed for Child Care,Y,12,December,2020
